Date,Open,High,Low,Close,Volume
2014-01-02 00:00:00+08:00,16.87482347,17.20113373,16.87482347,17.20113373,2365175
2014-01-03 00:00:00+08:00,17.20113286,17.20113286,16.87482262,16.87482262,1800797
2014-01-06 00:00:00+08:00,16.96805544,17.06128517,16.73497647,16.87482262,1774315
2014-01-07 00:00:00+08:00,16.7815934,16.87482314,16.64174571,16.68836212,1764330
2014-01-08 00:00:00+08:00,16.68836294,16.82820909,16.64174652,16.64174652,2132043
2014-01-09 00:00:00+08:00,16.6417432,16.78159087,16.40866581,16.45528221,2603515
2014-01-10 00:00:00+08:00,16.45528221,16.59512834,16.36205095,16.45528221,2973834
2014-01-13 00:00:00+08:00,16.50190081,16.68836339,16.40866952,16.54851723,2581809
2014-01-14 00:00:00+08:00,16.50189774,16.59512901,16.36205161,16.59512901,1825977
2014-01-15 00:00:00+08:00,16.45528288,16.59512901,16.45528288,16.59512901,2224514
2014-01-16 00:00:00+08:00,16.64174402,16.64174402,16.40866661,16.40866661,2419442
2014-01-17 00:00:00+08:00,16.40866713,16.73497581,16.36205226,16.73497581,2346941
2014-01-20 00:00:00+08:00,16.73497691,16.82820819,16.64174563,16.78159332,2096878
2014-01-21 00:00:00+08:00,16.78159405,16.87482379,16.64174636,16.82820892,1942326
2014-01-22 00:00:00+08:00,16.82820499,17.01466751,16.82820499,17.01466751,2441148
2014-01-23 00:00:00+08:00,17.01467015,17.10790143,16.92143888,17.06128502,3169195
2014-01-24 00:00:00+08:00,16.96805573,17.01467059,16.82820803,16.96805573,2267060
2014-01-27 00:00:00+08:00,16.50189774,16.73497515,16.36205161,16.59512901,4363070
2014-02-05 00:00:00+08:00,16.22220866,16.45528611,16.08236096,16.36205482,4028351
2014-02-06 00:00:00+08:00,16.22220802,16.31543776,16.12897674,16.22220802,2395130
2014-02-07 00:00:00+08:00,16.40866581,16.50189707,16.22220482,16.45528221,1718311
2014-02-10 00:00:00+08:00,16.59512922,16.64174409,16.26882055,16.31543541,1360149
2014-02-11 00:00:00+08:00,16.31543841,16.4086697,16.26882354,16.36205482,406785
2014-02-12 00:00:00+08:00,16.40866654,16.54851422,16.36205168,16.50189781,1812519
2014-02-13 00:00:00+08:00,16.36205418,16.40866905,16.22220802,16.22220802,2611764
2014-02-14 00:00:00+08:00,16.40866661,16.45528302,16.26882048,16.40866661,1886322
2014-02-17 00:00:00+08:00,16.50189788,16.54851429,16.40866661,16.40866661,1216450
2014-02-18 00:00:00+08:00,16.40866952,16.54851723,16.36205465,16.54851723,955968
2014-02-19 00:00:00+08:00,16.54851429,16.59512915,16.31543534,16.40866661,1738282
2014-02-20 00:00:00+08:00,16.31543841,16.45528611,16.22220866,16.36205482,2150277
2014-02-21 00:00:00+08:00,16.45528594,16.54851723,16.40866952,16.54851723,1992251
2014-02-24 00:00:00+08:00,16.59512901,16.59512901,16.45528288,16.59512901,981582
2014-02-25 00:00:00+08:00,16.68836212,16.7815934,16.59513084,16.68836212,1684015
2014-02-26 00:00:00+08:00,16.68836028,16.78159155,16.59512901,16.59512901,1104008
2014-02-27 00:00:00+08:00,16.68836204,16.92143947,16.59513076,16.78159332,1689658
2014-03-03 00:00:00+08:00,16.59512834,16.78159087,16.45528221,16.45528221,1205162
2014-03-04 00:00:00+08:00,16.40866594,16.45528234,16.17558854,16.26881981,1710931
2014-03-05 00:00:00+08:00,16.4086697,16.5485174,16.36205482,16.36205482,807493
2014-03-06 00:00:00+08:00,16.45528469,16.68836212,16.45528469,16.68836212,1415284
2014-03-07 00:00:00+08:00,16.68836294,16.78159422,16.4552855,16.64174652,1407036
2014-03-10 00:00:00+08:00,16.64174652,16.68836294,16.54851678,16.64174652,712417
2014-03-11 00:00:00+08:00,16.64174715,16.64174715,16.26882354,16.36205482,1701814
2014-03-12 00:00:00+08:00,16.31543541,16.31543541,16.12897441,16.31543541,1989212
2014-03-13 00:00:00+08:00,16.31543541,16.36205182,16.12897441,16.31543541,1469551
2014-03-14 00:00:00+08:00,16.31543467,16.40866594,16.12897368,16.26881981,2456777
2014-03-17 00:00:00+08:00,16.45528546,16.45528546,16.03574545,16.22220802,2104259
2014-03-18 00:00:00+08:00,16.26882289,16.31543776,16.08236032,16.22220802,2229290
2014-03-19 00:00:00+08:00,16.22220819,16.22220819,15.94251434,16.03574562,2281820
2014-03-20 00:00:00+08:00,16.12897388,16.12897388,15.89589648,15.98912621,1390973
2014-03-21 00:00:00+08:00,16.03574261,16.03574261,15.84928008,15.98912621,2140292
2014-03-24 00:00:00+08:00,15.98912912,16.12897682,15.94251425,16.12897682,1215581
2014-03-25 00:00:00+08:00,16.03574554,16.17559169,15.98912912,16.12897682,892584
2014-03-26 00:00:00+08:00,16.17558927,16.36205182,16.03574314,16.31543541,1660137
2014-03-27 00:00:00+08:00,16.22220802,16.36205418,16.17559161,16.22220802,1248142
2014-03-28 00:00:00+08:00,16.17559225,16.4086697,16.12897738,16.36205482,1620631
2014-03-31 00:00:00+08:00,16.40866647,16.59512901,16.36205161,16.59512901,1626274
2014-04-01 00:00:00+08:00,16.54851415,16.59512901,16.36205161,16.59512901,1126149
2014-04-02 00:00:00+08:00,16.59513084,16.68836212,16.40866828,16.68836212,1702682
